,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Storage,bathrooms_bedrooms_avg,price_category
7975,1,1100,1250,Rochester,NY,43.1689,-77.6289,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Medio
3047,1,858,681,Little Rock,AR,34.7264,-92.348,RentLingo,0,0,1,0,0,0,0,0,1,1,1,1,1.0,Bajo
8339,0,2450,1400,Alhambra,CA,34.084,-118.1356,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
6133,0,1225,931,Ames,IA,42.0259,-93.6516,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Medio
1902,1,780,600,Daytona Beach,FL,29.1812,-81.0341,RentLingo,0,0,0,0,0,0,1,1,0,0,1,0,1.0,Bajo
2750,1,862,661,Cleburne,TX,32.3475,-97.3863,RentDigs.com,1,0,1,0,0,0,0,0,0,0,0,0,1.0,Bajo
3334,1,1079,700,Garland,TX,32.9075,-96.6339,RentLingo,1,1,1,0,1,0,1,1,1,1,1,0,1.0,Medio
2119,1,899,620,Salt Lake City,UT,40.7061,-111.9048,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
7611,1,1534,1170,Dallas,TX,32.829,-96.8458,RentDigs.com,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Alto
4705,1,925,792,Fitchburg,WI,43.0152,-89.4529,RentLingo,1,0,1,0,1,0,0,1,1,0,1,0,1.0,Bajo
4229,0,1674,752,Derwood,MD,39.145,-77.1376,RentDigs.com,0,0,0,0,0,1,0,1,0,1,0,0,1.0,Alto
8928,1,7500,1931,West Hollywood,CA,34.0939,-118.3801,RentDigs.com,1,0,1,1,0,0,0,1,0,0,1,0,2.5,Alto
2689,1,1291,659,Houston,TX,29.7714,-95.4343,RentLingo,0,1,1,0,0,0,1,1,1,1,1,0,1.0,Medio
6142,1,785,933,Dayton,OH,39.8456,-84.1117,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,2.0,Bajo
7194,1,6200,1100,Beverly Hills,CA,34.0806,-118.4029,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
1923,1,700,600,Lansing,MI,42.7199,-84.5731,Other,0,0,1,0,0,0,1,1,0,1,1,0,0.5,Bajo
5849,0,1599,900,Manchester,NH,42.9833,-71.4574,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
75,0,965,250,Medford Lakes,NJ,39.8587,-74.8101,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
2345,1,773,639,Oklahoma City,OK,35.471,-97.5299,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
2351,0,1312,640,Grand Rapids,MI,42.9497,-85.6417,RentLingo,0,0,1,0,0,0,1,1,0,0,1,0,1.0,Medio
4630,1,1500,786,Milwaukee,WI,43.0531,-87.9659,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
430,1,850,400,Houston,TX,29.7714,-95.4343,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Bajo
7133,1,695,1085,West Lafayette,IN,40.4969,-86.9659,RentLingo,0,0,1,0,1,0,0,1,1,0,1,0,1.5,Bajo
6048,1,1200,918,South Milwaukee,WI,42.9115,-87.8656,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,1.5,Medio
952,0,760,500,Dallas,TX,32.6857,-96.6013,RentDigs.com,0,0,0,0,0,0,0,1,0,1,0,0,1.0,Bajo
8893,1,1695,1879,Mandan,ND,46.8296,-100.8908,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
8682,1,1399,1607,Concord,NC,35.4047,-80.6098,RentLingo,0,0,1,1,0,0,0,0,0,0,1,1,3.0,Medio
4254,1,1085,754,Phoenix,AZ,33.5178,-112.0848,RentLingo,0,0,1,1,0,0,0,1,0,1,0,1,1.0,Medio
9134,0,4195,2562,Livermore,CA,37.6812,-121.7519,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
7224,1,1595,1100,Minneapolis,MN,44.9855,-93.3023,RentLingo,1,0,1,0,0,0,1,1,0,0,1,0,1.5,Alto
7013,1,1109,1060,Euless,TX,32.8255,-97.1039,RentDigs.com,1,1,1,1,1,1,0,1,1,0,1,1,1.5,Medio
8249,0,1973,1345,Euless,TX,32.8524,-97.0886,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
6458,1,1600,975,Burlington,VT,44.5072,-73.2452,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
240,1,1350,325,Seattle,WA,47.616,-122.3275,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
783,1,1875,478,Fremont,CA,37.5444,-121.982,RentLingo,1,1,1,1,1,0,1,1,1,1,1,0,0.5,Alto
1354,1,1599,550,Tampa,FL,28.0076,-82.4792,RentLingo,0,0,1,0,0,0,0,1,0,0,1,0,1.0,Alto
3066,1,785,683,Carbon Cliff,IL,41.4954,-90.3928,RentLingo,0,0,1,0,1,0,0,1,1,0,1,0,1.0,Bajo
8622,0,1100,1567,Taylor,MI,42.2329,-83.2689,Other,0,0,1,0,0,0,0,1,0,0,1,0,1.0,Medio
977,0,501,500,Corsica,SD,43.4248,-98.4049,RentLingo,0,0,0,0,0,0,0,1,0,0,1,0,1.0,Bajo
809,1,1595,483,Valley Village,CA,34.1656,-118.3916,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
2168,1,1040,624,Bloomington,IN,39.1471,-86.5136,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Medio
4516,0,720,777,Sioux Falls,SD,43.5329,-96.7265,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
9030,0,1700,2147,Riverton,UT,40.5425,-111.9637,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,3.5,Alto
1599,0,3699,575,Los Angeles,CA,33.9943,-118.462,RentDigs.com,0,0,1,1,0,0,0,1,1,0,1,0,1.0,Alto
2941,0,1150,675,Plainsboro,NJ,40.3346,-74.5794,RentDigs.com,0,0,0,0,0,0,0,0,0,1,0,1,1.0,Medio
3891,0,2350,735,Ventura,CA,34.2931,-119.2941,Other,0,0,0,0,1,0,0,0,0,0,1,0,1.5,Alto
8935,1,2800,1950,Renton,WA,47.4696,-122.1655,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,3.0,Alto
4362,1,920,764,Atlanta,GA,33.7848,-84.3922,RentLingo,1,1,1,0,1,0,1,1,0,1,1,0,1.0,Bajo
684,1,950,454,Albany,NY,42.6742,-73.7936,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
6939,0,1415,1050,Woodbury,MN,44.9032,-92.9227,RentLingo,1,0,1,0,1,0,0,0,1,0,1,1,2.0,Medio
6440,1,2560,972,Kirkland,WA,47.6869,-122.1896,RentDigs.com,0,0,0,1,0,1,0,0,1,1,0,1,2.0,Alto
1620,0,1106,576,Storrs,CT,41.8019,-72.2494,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
4338,1,660,760,Lafayette,IN,40.3613,-86.9005,RentLingo,0,0,1,0,1,0,0,1,1,0,1,0,1.5,Bajo
1482,0,650,560,Lafayette,IN,40.3613,-86.9005,RentLingo,0,0,1,0,0,0,0,1,1,0,1,0,1.0,Bajo
2146,1,1115,622,Tampa,FL,28.0076,-82.4792,RentLingo,0,0,1,0,0,0,0,1,1,1,1,0,1.0,Medio
1801,1,3695,600,San Francisco,CA,37.7599,-122.4379,RentLingo,0,0,1,0,0,0,0,0,1,0,1,0,1.0,Alto
2095,0,1000,619,Iowa City,IA,41.6595,-91.535,RentLingo,1,0,1,0,1,0,1,1,1,0,1,0,1.0,Bajo
5130,1,2199,825,Valley Village,CA,34.1656,-118.3916,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
5384,1,1359,850,Ann Arbor,MI,42.2711,-83.745,RentLingo,0,0,1,0,0,0,0,1,0,1,1,0,1.0,Medio
1357,1,1420,550,Minneapolis,MN,44.9855,-93.3023,RentLingo,0,0,1,0,0,0,0,1,1,1,0,0,1.5,Medio
6816,0,1600,1025,Tuscaloosa,AL,33.1932,-87.5349,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
5112,0,2560,823,West New York,NJ,40.789,-74.0122,RentDigs.com,0,0,0,0,0,1,0,0,0,1,0,0,1.0,Alto
4220,1,945,751,Abilene,TX,32.4418,-99.7494,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
6594,1,2495,1000,San Luis Obispo,CA,35.26,-120.6505,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
8807,1,1549,1762,Humble,TX,30.0021,-95.2555,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,2.5,Alto
4871,1,879,800,Little Rock,AR,34.7264,-92.348,RentLingo,0,0,1,0,0,0,0,0,1,1,1,0,1.0,Bajo
5081,1,1549,820,Renton,WA,47.4608,-122.2095,RentDigs.com,0,0,0,1,0,0,0,0,0,1,0,0,1.5,Alto
6922,0,3200,1050,Jersey City,NJ,40.722,-74.0644,RentDigs.com,0,0,1,0,0,0,0,0,0,0,0,0,1.5,Alto
3950,0,1400,740,Kirkland,WA,47.7179,-122.2059,RentDigs.com,1,0,0,0,0,1,0,0,1,0,0,1,1.0,Medio
4597,0,1190,784,Virginia Beach,VA,36.7992,-76.1756,RentDigs.com,0,1,0,0,0,1,0,0,0,1,0,0,1.0,Medio
1609,1,899,575,Cincinnati,OH,39.1679,-84.4933,RentLingo,0,0,1,0,0,0,0,1,1,0,0,0,1.0,Bajo
7638,0,3000,1176,Palm Springs,CA,33.8318,-116.5437,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
494,1,1300,415,Philadelphia,PA,40.0054,-75.1415,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Medio
4071,1,3800,750,Los Angeles,CA,34.063,-118.4363,RentDigs.com,0,0,0,1,0,1,0,1,0,1,0,0,1.0,Alto
3319,0,1200,700,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,0,1,0,1,0,0,1.0,Medio
4593,0,1400,784,Cincinnati,OH,39.1535,-84.4264,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,1.0,Medio
2017,0,745,610,Euless,TX,32.8524,-97.0886,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
5082,1,1456,820,Pittsburgh,PA,40.4448,-79.9725,RentLingo,0,0,1,0,1,0,0,1,0,0,1,0,1.5,Medio
2328,0,1863,637,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
29,0,1150,225,Seattle,WA,47.616,-122.3275,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Medio
7096,1,1835,1077,Odenton,MD,39.0747,-76.7017,RentDigs.com,1,1,1,0,0,1,1,1,0,1,1,1,2.0,Alto
5298,1,1875,842,Dallas,TX,32.8212,-96.7853,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
9052,1,1299,2200,Conyers,GA,33.6471,-84.0154,RentLingo,0,0,1,0,0,0,0,0,1,0,1,0,3.0,Medio
3118,1,930,688,Las Vegas,NV,36.1554,-115.1733,RentLingo,0,1,1,0,1,0,1,1,1,1,1,1,1.0,Bajo
1092,0,905,518,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,0,1,0,1,0,0,1.0,Bajo
3246,0,1084,698,Cincinnati,OH,39.1054,-84.5022,RentDigs.com,0,0,0,0,0,1,0,1,0,0,0,0,1.0,Medio
124,0,720,250,Converse,TX,29.4782,-98.2759,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
5431,0,949,850,Morrisville,NC,35.823,-78.6438,RentDigs.com,0,1,0,0,0,1,1,0,1,1,0,0,1.0,Bajo
7536,1,2325,1150,Royal Oak,MI,42.5067,-83.1545,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
4477,0,1181,775,Budd Lake,NJ,40.8866,-74.7498,RentDigs.com,1,0,0,0,0,0,0,1,0,0,0,0,1.0,Medio
6296,1,895,950,Gretna,NE,41.1298,-96.2485,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
9083,1,1800,2302,Parkersburg,IA,42.5765,-92.789,RentLingo,0,0,1,0,1,0,0,1,0,0,1,0,3.5,Alto
2298,1,1018,633,Tempe,AZ,33.3898,-111.9272,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
7732,1,713,1196,Cheyenne,WY,41.1555,-104.8204,RentLingo,0,0,0,0,0,0,0,1,0,0,0,0,2.5,Bajo
1553,1,610,569,Davenport,IA,41.5486,-90.5922,RentLingo,1,0,1,0,1,0,0,1,1,0,1,0,1.0,Bajo
8450,0,2229,1455,Grapevine,TX,32.9314,-97.0956,RentDigs.com,0,0,0,0,0,1,0,1,0,1,0,0,2.5,Alto
3341,0,1050,700,Bridgeport,CT,41.1908,-73.1965,Other,0,0,0,0,0,0,0,0,0,0,1,0,1.0,Medio
598,1,750,442,Chattanooga,TN,35.0462,-85.2352,RentLingo,1,0,1,0,1,0,1,1,0,0,1,0,1.0,Bajo
2123,0,859,620,Round Rock,TX,30.5118,-97.6873,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
7819,1,785,1200,Hattiesburg,MS,31.2769,-89.3049,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Bajo
1416,0,525,550,Grand Forks,ND,47.9179,-97.0658,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
8303,0,3497,1379,Needham Heights,MA,42.3015,-71.2316,RentDigs.com,0,1,1,1,0,1,1,1,1,1,0,0,2.0,Alto
4101,0,1610,750,Buena Park,CA,33.8569,-118.0019,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
6000,1,1313,912,Dallas,TX,33.0023,-96.8406,RentDigs.com,0,0,0,1,0,1,0,1,0,1,0,0,2.0,Medio
6324,1,820,953,Mandan,ND,46.8296,-100.8908,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
5958,1,1730,903,Hanover,MD,39.1649,-76.7156,Other,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
8922,1,1499,1918,Charlotte,NC,35.2016,-80.8124,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
5165,1,2895,827,Mountain View,CA,37.3905,-122.0796,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
2197,1,1024,625,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,0,1,0,1,1,0,1.0,Medio
8583,0,2200,1536,Columbia,MO,38.9401,-92.3167,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
3605,0,835,715,Marietta,GA,34.0007,-84.4665,RentDigs.com,0,0,0,0,0,1,0,0,1,1,0,1,1.0,Bajo
3362,1,995,700,Portland,OR,45.4839,-122.6379,Other,0,0,0,0,0,0,0,0,1,0,1,0,1.0,Bajo
5787,1,664,895,Sioux Falls,SD,43.5329,-96.7265,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
3817,0,1020,728,Las Vegas,NV,36.0198,-115.1504,RentDigs.com,0,0,0,0,0,0,0,1,0,1,0,0,1.0,Medio
725,1,3095,466,San Francisco,CA,37.7599,-122.4379,RentLingo,0,0,1,0,0,0,0,1,0,0,1,0,1.0,Alto
4156,1,925,750,New Berlin,WI,42.9738,-88.1107,RentLingo,1,0,1,0,0,0,1,1,1,1,1,1,1.0,Bajo
978,1,495,500,Birmingham,AL,33.5137,-86.7893,RentLingo,0,1,1,0,1,0,0,1,0,1,1,0,2.5,Bajo
808,1,1926,483,Washington,DC,38.9074,-77.0494,RentLingo,0,0,0,0,0,0,0,1,0,1,0,0,1.5,Alto
4277,0,1225,756,Bladensburg,MD,38.9414,-76.9292,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,1.0,Medio
7061,1,2200,1070,Hawthorne,CA,33.9136,-118.3527,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,1.5,Alto
958,1,725,500,Milwaukee,WI,43.0531,-87.9659,RentLingo,0,0,0,0,0,0,0,1,0,0,1,1,1.0,Bajo
5638,1,1249,875,Milford,NH,42.829,-71.658,RentDigs.com,0,0,0,0,0,0,0,1,1,0,0,0,1.5,Medio
5447,1,799,850,Moraine,OH,39.6854,-84.1965,RentLingo,0,0,1,0,0,0,0,1,1,0,1,0,1.5,Bajo
4902,0,700,800,Dalton,GA,34.7754,-84.9497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
810,1,875,483,Phoenix,AZ,33.5178,-112.0848,RentLingo,0,0,0,0,0,0,0,1,0,1,0,0,2.0,Bajo
5009,1,1155,811,Chandler,AZ,33.3029,-111.8667,RentLingo,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Medio
8336,0,2995,1400,Los Angeles,CA,34.0372,-118.2972,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
834,1,895,488,Fitchburg,WI,43.0152,-89.4529,RentLingo,1,0,1,0,1,0,0,1,1,0,1,1,1.5,Bajo
4271,1,639,755,Springfield,MO,37.1892,-93.2908,RentLingo,1,0,1,0,1,0,1,1,1,1,1,1,1.0,Bajo
2423,1,625,645,Greensboro,NC,36.0723,-79.8196,RentLingo,0,0,1,0,0,0,1,1,0,1,1,0,1.0,Bajo
5428,0,964,850,Mebane,NC,36.0913,-79.2861,RentDigs.com,0,0,0,0,0,1,0,0,1,1,0,0,1.0,Bajo
7086,0,970,1075,Winston Salem,NC,36.0652,-80.3179,RentDigs.com,0,1,0,0,0,0,0,0,0,1,0,0,2.0,Bajo
1235,1,1119,535,Chicago,IL,41.8625,-87.6825,RentLingo,0,0,1,0,0,0,0,0,0,1,1,0,1.0,Medio
1225,0,859,533,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
8481,1,1449,1474,New Braunfels,TX,29.7398,-98.1021,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,2.5,Medio
9095,1,1899,2392,Arlington,TX,32.7025,-97.1196,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,3.5,Alto
4467,1,3900,775,Palo Alto,CA,37.4356,-122.134,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Alto
5169,0,1191,827,Cedar Park,TX,30.4973,-97.8276,RentLingo,0,0,0,0,0,1,0,0,1,1,0,0,1.0,Medio
4296,1,1000,758,New Bedford,MA,41.6505,-70.9367,RentDigs.com,0,0,0,0,0,1,0,1,0,0,0,0,1.5,Bajo
3217,1,1660,696,Madison,WI,43.0724,-89.4003,RentLingo,0,0,0,0,0,0,0,1,0,0,1,0,2.0,Alto
6300,1,875,950,Tallahassee,FL,30.4601,-84.2714,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Bajo
287,0,800,350,Chicago,IL,41.8625,-87.6825,RentLingo,0,0,0,0,0,0,0,0,0,0,1,0,1.0,Bajo
4235,1,1110,752,Phoenix,AZ,33.5178,-112.0848,RentLingo,0,0,1,0,0,0,0,1,0,1,0,1,1.0,Medio
2966,1,785,676,Rapid City,SD,44.0763,-103.2121,RentLingo,1,0,1,0,1,0,0,1,1,0,1,1,1.0,Bajo
3164,1,1435,692,Milwaukee,WI,43.0531,-87.9659,RentLingo,1,1,1,0,1,0,1,1,1,1,1,1,1.0,Medio
7872,1,1449,1218,Tomball,TX,30.0796,-95.617,RentLingo,0,0,1,1,1,0,0,0,0,0,0,0,2.5,Medio
6489,0,1505,978,Cherry Hill,NJ,39.905,-74.9965,RentDigs.com,0,0,0,0,0,0,0,1,0,1,0,1,1.5,Alto
7934,0,999,1238,Champaign,IL,40.1145,-88.2723,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Bajo
1657,1,1326,580,Lakewood,CO,39.6894,-105.1119,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
1975,1,1409,604,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,1,1,0,1,1,0,1.0,Medio
2397,1,965,643,Houston,TX,29.8966,-95.6028,RentLingo,1,1,1,0,1,0,1,1,1,1,1,0,1.0,Bajo
452,0,475,400,Denver,CO,39.736,-104.9819,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
6790,1,825,1020,Sioux Falls,SD,43.5329,-96.7265,RentLingo,1,0,1,0,1,0,1,1,1,0,1,0,1.5,Bajo
8908,0,3150,1900,Baltimore,MD,39.3191,-76.6126,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,3.5,Alto
5098,1,835,820,Minot,ND,48.2469,-101.3017,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
5143,1,1400,825,Philadelphia,PA,40.0054,-75.1415,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
7189,1,1648,1098,Chicago,IL,41.8625,-87.6825,RentLingo,0,0,0,0,0,0,0,1,1,0,0,0,2.0,Alto
2619,1,1245,652,Milwaukee,WI,43.0531,-87.9659,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
422,0,895,400,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Bajo
5111,0,800,822,Fargo,ND,46.8608,-96.8096,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
1220,0,2667,533,Jersey City,NJ,40.722,-74.0644,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Alto
2929,0,1440,675,Princeton Junction,NJ,40.2967,-74.6137,RentDigs.com,0,0,0,0,0,1,0,0,0,1,0,0,1.0,Medio
657,1,790,450,Antioch,TN,36.0402,-86.6385,RentLingo,0,1,1,1,0,0,0,1,1,1,1,1,1.0,Bajo
3301,1,1425,700,Chicago,IL,41.8625,-87.6825,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
4927,1,1365,802,Madison,WI,43.0724,-89.4003,RentLingo,1,0,1,0,1,0,1,1,1,1,1,0,2.0,Medio
2845,1,1210,670,Manchester,NH,42.9833,-71.4574,RentDigs.com,0,1,0,0,0,1,1,0,0,0,0,0,1.0,Medio
3023,1,951,680,Lewisville,TX,33.0653,-97.0251,RentLingo,0,0,1,1,0,0,0,0,1,1,0,0,1.0,Bajo
6328,1,1288,954,Euless,TX,32.8524,-97.0886,RentDigs.com,0,0,0,1,0,0,0,1,0,1,0,1,2.0,Medio
9092,0,3295,2348,Aiea,HI,21.388,-157.9305,RentLingo,0,0,0,0,0,0,0,1,0,0,0,1,2.5,Alto
1001,0,742,504,Euless,TX,32.8524,-97.0886,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
102,0,850,250,Portland,OR,45.5091,-122.6449,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
2418,1,975,645,Vancouver,WA,45.6558,-122.5888,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
6315,1,1615,952,Laurel,MD,39.0614,-76.8511,RentDigs.com,1,0,1,0,0,1,0,1,1,1,1,0,2.0,Alto
5894,0,999,900,Orem,UT,40.3012,-111.6907,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
6975,1,1265,1052,Arlington,TX,32.6924,-97.1324,RentDigs.com,0,1,1,1,1,1,0,1,1,0,0,1,2.0,Medio
7148,1,675,1088,Leland,MS,33.4102,-90.8945,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Bajo
1580,0,899,571,New Braunfels,TX,29.7398,-98.1021,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
4222,1,905,751,Abilene,TX,32.4418,-99.7494,RentLingo,1,0,1,0,1,0,1,1,0,1,1,0,1.0,Bajo
2248,1,1308,630,Saint Louis,MO,38.6274,-90.304,RentLingo,0,0,1,0,0,0,0,1,1,0,1,1,1.0,Medio
2206,0,710,625,Bloomington,IN,39.1471,-86.5136,RentLingo,1,0,1,0,1,0,1,1,0,1,1,0,1.0,Bajo
170,0,200,250,Mount Airy,MD,39.3903,-77.1487,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
7625,1,1125,1173,Edmond,OK,35.6217,-97.4702,RentDigs.com,0,0,0,0,0,1,0,1,0,1,0,0,2.0,Medio
135,1,695,250,Cedar Falls,IA,42.5286,-92.4509,RentLingo,0,0,0,0,0,0,1,1,0,0,1,0,0.5,Bajo
757,1,3395,474,San Francisco,CA,37.7599,-122.4379,RentLingo,0,0,0,0,0,0,0,0,0,0,1,0,1.0,Alto
6846,1,1150,1030,Spokane Valley,WA,47.6485,-117.2657,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Medio
1310,1,1576,545,Chicago,IL,41.8625,-87.6825,RentLingo,1,0,1,0,0,0,1,1,1,1,1,0,1.5,Alto
1217,1,1095,532,Menomonee Falls,WI,43.1472,-88.1182,RentLingo,1,1,1,0,0,0,1,0,1,1,1,1,2.0,Medio
2284,1,1365,631,Chicago,IL,41.8625,-87.6825,RentLingo,0,0,0,0,0,0,0,0,1,0,0,0,1.5,Medio
5630,1,1625,875,Long Beach,CA,33.8631,-118.1765,RentDigs.com,0,0,1,0,0,1,0,0,0,1,0,0,2.0,Alto
2905,1,700,673,Shreveport,LA,32.3841,-93.6685,RentDigs.com,1,0,1,0,0,1,0,1,1,1,1,0,1.0,Bajo
6661,0,1000,1000,Milwaukee,WI,43.0531,-87.9659,RentLingo,1,0,1,0,0,0,0,1,0,0,1,1,1.5,Bajo
3903,1,1007,735,Lees Summit,MO,38.9163,-94.3719,RentLingo,1,1,1,0,1,0,1,1,1,1,1,0,1.0,Bajo
8832,0,1800,1800,Lafayette,IN,40.3613,-86.9005,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
1935,1,605,600,Little Rock,AR,34.7264,-92.348,RentLingo,0,1,1,1,1,0,1,1,1,1,1,1,1.0,Bajo
6987,0,1398,1055,Silver Spring,MD,39.065,-76.9815,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,1.0,Medio
1743,0,1360,591,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,0,1,0,1,0,0,1.0,Medio
4262,0,1695,755,Garden Grove,CA,33.7767,-117.9537,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
807,1,711,482,Las Vegas,NV,36.1554,-115.1733,RentLingo,0,0,1,0,0,0,0,1,0,1,1,0,1.0,Bajo
2045,0,2100,613,Sterling Heights,MI,42.5784,-83.032,RentLingo,0,0,1,0,0,0,0,1,0,1,1,0,1.0,Alto
5813,0,2950,900,Santa Clara,CA,37.3499,-121.9708,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,1.0,Alto
462,1,1725,405,Seal Beach,CA,33.7606,-118.0806,RentDigs.com,0,0,0,0,0,1,0,0,0,1,0,0,1.5,Alto
2927,0,1506,675,Kirkland,WA,47.7179,-122.2059,RentDigs.com,0,0,0,1,0,1,0,0,0,1,0,1,1.0,Alto
1956,1,1305,602,Cherry Hill,NJ,39.905,-74.9965,RentDigs.com,0,0,0,0,0,0,0,1,0,1,0,1,1.0,Medio
